segment_id,token,proposed_lemma
dbg_book02_ch001,item,item
dbg_book02_ch001,belgas,belgas
dbg_book02_ch001,qui,qui
dbg_book02_ch001,qui,qui
dbg_book02_ch001,qui,qui
dbg_book02_ch001,qui,qui
dbg_book02_ch002,qui,qui
dbg_book02_ch002,copia,copia
dbg_book02_ch002,negotium,negotium
dbg_book02_ch002,qui,qui
dbg_book02_ch002,manus,manus
dbg_book02_ch003,qui,qui
dbg_book02_ch003,andebrogium,andebrogium
dbg_book02_ch003,qui,qui
dbg_book02_ch003,belgas,belgas
dbg_book02_ch003,qui,qui
dbg_book02_ch003,cis,cis
dbg_book02_ch003,qui,qui
dbg_book02_ch003,imperium,imperium
dbg_book02_ch004,belgas,belgas
dbg_book02_ch004,antiquitus,antiquitus
dbg_book02_ch004,qui,qui
dbg_book02_ch004,qui,qui
dbg_book02_ch004,memoria,memoria
dbg_book02_ch004,memoria,memoria
dbg_book02_ch004,spiritus,spiritus
dbg_book02_ch004,propterea,propterea
dbg_book02_ch004,pollicitus,pollicitus
dbg_book02_ch004,centum,centum
dbg_book02_ch004,imperium,imperium
dbg_book02_ch004,memoria,memoria
dbg_book02_ch004,qui,qui
dbg_book02_ch004,imperium,imperium
dbg_book02_ch004,oppida,oppida
dbg_book02_ch004,xii,xii
dbg_book02_ch004,totidem,totidem
dbg_book02_ch004,qui,qui
dbg_book02_ch004,uii,uii
dbg_book02_ch004,caletos,caletos
dbg_book02_ch004,totidem,totidem
dbg_book02_ch004,qui,qui
dbg_book02_ch005,senatum,senatum
dbg_book02_ch005,manus,manus
dbg_book02_ch005,latus,latus
dbg_book02_ch005,ripis,ripis
dbg_book02_ch005,commeatus,commeatus
dbg_book02_ch005,praesidium,praesidium
dbg_book02_ch005,xii,xii
dbg_book02_ch006,uiii,uiii
dbg_book02_ch006,totis,totis
dbg_book02_ch006,portas,portas
dbg_book02_ch006,tela,tela
dbg_book02_ch006,potestas,potestas
dbg_book02_ch006,iccius,iccius
dbg_book02_ch006,remus,remus
dbg_book02_ch006,gratia,gratia
dbg_book02_ch006,qui,qui
dbg_book02_ch006,unus,unus
dbg_book02_ch006,qui,qui
dbg_book02_ch006,subsidium,subsidium
dbg_book02_ch007,usus,usus
dbg_book02_ch007,qui,qui
dbg_book02_ch007,studium,studium
dbg_book02_ch007,causa,causa
dbg_book02_ch007,spes,spes
dbg_book02_ch007,caesaris,caesaris
dbg_book02_ch007,uiii,uiii
dbg_book02_ch008,natura,natura
dbg_book02_ch008,is,is
dbg_book02_ch008,tantum,tantum
dbg_book02_ch008,aduersus,aduersus
dbg_book02_ch008,quantum,quantum
dbg_book02_ch008,acies,acies
dbg_book02_ch008,planitiem,planitiem
dbg_book02_ch008,tantum,tantum
dbg_book02_ch008,opus,opus
dbg_book02_ch008,item,item
dbg_book02_ch009,palus,palus
dbg_book02_ch009,autem,autem
dbg_book02_ch009,initium,initium
dbg_book02_ch009,acies,acies
dbg_book02_ch009,initium,initium
dbg_book02_ch009,protinus,protinus
dbg_book02_ch009,castellum,castellum
dbg_book02_ch009,titurius,titurius
dbg_book02_ch009,qui,qui
dbg_book02_ch010,leuis,leuis
dbg_book02_ch010,qui,qui
dbg_book02_ch010,causa,causa
dbg_book02_ch010,reliquis,reliquis
dbg_book02_ch010,auxilium,auxilium
dbg_book02_ch011,uigilia,uigilia
dbg_book02_ch011,consimilis,consimilis
dbg_book02_ch011,causa,causa
dbg_book02_ch011,nondum,nondum
dbg_book02_ch011,qui,qui
dbg_book02_ch011,aurunculeium,aurunculeium
dbg_book02_ch011,fuga,fuga
dbg_book02_ch011,praesidium,praesidium
dbg_book02_ch011,quantum,quantum
dbg_book02_ch011,spatium,spatium
dbg_book02_ch012,prius,prius
dbg_book02_ch012,fuga,fuga
dbg_book02_ch012,qui,qui
dbg_book02_ch012,conatus,conatus
dbg_book02_ch012,omnis,omnis
dbg_book02_ch012,fuga,fuga
dbg_book02_ch012,qui,qui
dbg_book02_ch012,manus,manus
dbg_book02_ch012,item,item
dbg_book02_ch013,diuiciacus,diuiciacus
dbg_book02_ch013,amicitia,amicitia
dbg_book02_ch013,qui,qui
dbg_book02_ch013,qui,qui
dbg_book02_ch013,solum,solum
dbg_book02_ch013,clementia,clementia
dbg_book02_ch013,belgas,belgas
dbg_book02_ch014,causa,causa
dbg_book02_ch014,qui,qui
dbg_book02_ch014,mora,mora
dbg_book02_ch014,natura,natura
dbg_book02_ch014,belgas,belgas
dbg_book02_ch014,qui,qui
dbg_book02_ch015,aditus,aditus
dbg_book02_ch016,qui,qui
dbg_book02_ch016,quidam,quidam
dbg_book02_ch016,spatium,spatium
dbg_book02_ch016,consilium,consilium
dbg_book02_ch016,qui,qui
dbg_book02_ch016,antiquitus,antiquitus
dbg_book02_ch016,tempus,tempus
dbg_book02_ch016,causa,causa
dbg_book02_ch016,saepes,saepes
dbg_book02_ch016,munimentum,munimentum
dbg_book02_ch016,consilium,consilium
dbg_book02_ch017,natura,natura
dbg_book02_ch017,aduersus,aduersus
dbg_book02_ch017,contrarius,contrarius
dbg_book02_ch017,introrsus,introrsus
dbg_book02_ch017,secundum,secundum
dbg_book02_ch018,ui,ui
dbg_book02_ch018,proelium,proelium
dbg_book02_ch018,rursus,rursus
dbg_book02_ch018,qui,qui
dbg_book02_ch018,tempus,tempus
dbg_book02_ch018,autem,autem
dbg_book02_ch018,qui,qui
dbg_book02_ch019,uexillum,uexillum
dbg_book02_ch019,arma,arma
dbg_book02_ch019,signum,signum
dbg_book02_ch019,tuba,tuba
dbg_book02_ch019,qui,qui
dbg_book02_ch019,causa,causa
dbg_book02_ch019,acies,acies
dbg_book02_ch019,signum,signum
dbg_book02_ch019,breuitas,breuitas
