corpus,feature_set,feat_label,distance,dbc_r,dbc_p,dbc_ci_low,dbc_ci_high,mantel_r,mantel_p,mantel_ci_low,mantel_ci_high
DBC Pseudo-Books,mfw100,MFW 100 (lemmas),Delta,-0.42857142857142866,0.1767857142857143,-1.0,0.5555555555555555,0.09653543735283808,0.30436507936507934,-0.2960220478806354,0.503216918528352
DBC Pseudo-Books,mfw100,MFW 100 (lemmas),Cosine,0.07142857142857144,0.5801587301587302,-0.8695652173913043,0.9565217391304348,0.005726646300389465,0.475,-0.4024427148591703,0.5033788464718405
DBC Pseudo-Books,mfw200,MFW 200 (tokens),Delta,-0.21428571428571433,0.33075396825396824,-1.0,0.9607843137254901,0.11999136058443853,0.298015873015873,-0.30552890283512857,0.5519872362061672
DBC Pseudo-Books,mfw200,MFW 200 (tokens),Cosine,0.0,0.5182539682539683,-0.9999999999999999,1.0,-0.01922202490958866,0.5174603174603175,-0.4285240034577929,0.397433777508325
DBC Pseudo-Books,mfw200,MFW 200 (lemmas),Delta,-0.1785714285714286,0.35654761904761906,-1.0,0.8823529411764706,0.1751687272717221,0.23194444444444445,-0.2732042501078684,0.5492255662422141
DBC Pseudo-Books,mfw200,MFW 200 (lemmas),Cosine,0.10714285714285716,0.6087301587301587,-0.8666666666666666,1.0,0.038281517604526166,0.3962301587301587,-0.4079342840003638,0.5282178552351633
DBC Pseudo-Books,mfw300,MFW 300 (tokens),Delta,-0.5,0.13333333333333333,-1.0,0.5555555555555555,0.24879590009751962,0.1503968253968254,-0.20598844521216297,0.6764064577181859
DBC Pseudo-Books,mfw300,MFW 300 (tokens),Cosine,0.0,0.5182539682539683,-0.9607843137254901,1.0,0.014326599642974863,0.4357142857142857,-0.40573984935464374,0.4598260422923555
DBC Pseudo-Books,mfw300,MFW 300 (lemmas),Delta,-0.3214285714285715,0.2488095238095238,-1.0,0.75,0.09130144336164624,0.32976190476190476,-0.3208523713568323,0.5308032311507787
DBC Pseudo-Books,mfw300,MFW 300 (lemmas),Cosine,0.0,0.5182539682539683,-0.9999999999999999,1.0,0.0303543316924878,0.41388888888888886,-0.4186615766842033,0.5291325555702759
DBC Pseudo-Books,char2gram,Char 2-grams,Delta,-0.9642857142857145,0.001388888888888889,-1.0,-0.69811320754717,0.2912584442314068,0.1130952380952381,-0.16281540929531343,0.6977499124912453
DBC Pseudo-Books,char2gram,Char 2-grams,Cosine,-1.0,0.0001984126984126984,-1.0,-0.9999999999999999,0.3498510839439652,0.06547619047619048,-0.07137459979637008,0.733536390642009
DBC Pseudo-Books,char3gram,Char 3-grams,Delta,-0.9642857142857145,0.001388888888888889,-1.0,-0.6800000000000002,0.37663689766953656,0.05476190476190476,-0.08604761111463949,0.7423199820095313
DBC Pseudo-Books,char3gram,Char 3-grams,Cosine,-0.9285714285714288,0.003373015873015873,-1.0,-0.411764705882353,0.3818543495934288,0.05515873015873016,-0.08169840798416159,0.7976684048437309
DBC Pseudo-Books,char4gram,Char 4-grams,Delta,-0.8571428571428573,0.011904761904761904,-1.0,-0.34782608695652173,0.32441911510751503,0.08968253968253968,-0.14026276080978803,0.7444018262027178
