feature_set,representation,lexical,mfw,condition,distance,mantel_r,mantel_p,dbc_r,dbc_p
MFW 200 (lemmas),word,lemmas,100,Without Book V British excursus,Cosine,0.6303183478772725,0.006349206349206349,-0.9285714285714288,0.003373015873015873
MFW 200 (lemmas),word,lemmas,100,Without Both excursuses,Delta,0.2591326786683424,0.14444444444444443,-0.6071428571428572,0.08333333333333333
MFW 200 (lemmas),word,lemmas,100,Without Both excursuses,Cosine,0.594070122921762,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 200 (lemmas),word,lemmas,200,Full corpus (no exclusions),Delta,0.20079508686500605,0.20317460317460317,-0.7500000000000002,0.033134920634920635
MFW 200 (lemmas),word,lemmas,200,Full corpus (no exclusions),Cosine,0.6419001632733639,0.005555555555555556,-0.9285714285714288,0.003373015873015873
MFW 200 (lemmas),word,lemmas,200,Without Book VI Germanic excursus,Delta,0.26331736057342137,0.14126984126984127,-0.6071428571428572,0.08333333333333333
MFW 200 (lemmas),word,lemmas,200,Without Book VI Germanic excursus,Cosine,0.6003279814645979,0.012896825396825396,-0.8214285714285715,0.017063492063492062
MFW 200 (lemmas),word,lemmas,200,Without Book V British excursus,Delta,0.1866289778102485,0.2246031746031746,-0.7500000000000002,0.033134920634920635
MFW 200 (lemmas),word,lemmas,200,Without Book V British excursus,Cosine,0.6303183478772725,0.006349206349206349,-0.9285714285714288,0.003373015873015873
MFW 200 (lemmas),word,lemmas,200,Without Both excursuses,Delta,0.2591326786683424,0.14444444444444443,-0.6071428571428572,0.08333333333333333
MFW 200 (lemmas),word,lemmas,200,Without Both excursuses,Cosine,0.594070122921762,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 300,word,tokens,150,Full corpus (no exclusions),Delta,0.3074732607030594,0.09444444444444444,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,150,Full corpus (no exclusions),Cosine,0.4824244182745153,0.017063492063492062,-0.9285714285714288,0.003373015873015873
MFW 300,word,tokens,150,Without Book VI Germanic excursus,Delta,0.30782422856846153,0.10912698412698413,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,150,Without Book VI Germanic excursus,Cosine,0.4157411185120249,0.05119047619047619,-0.7500000000000002,0.033134920634920635
MFW 300,word,tokens,150,Without Book V British excursus,Delta,0.28505630876864596,0.1130952380952381,-0.7500000000000002,0.033134920634920635
MFW 300,word,tokens,150,Without Book V British excursus,Cosine,0.46945234139965963,0.02023809523809524,-0.9285714285714288,0.003373015873015873
MFW 300,word,tokens,150,Without Both excursuses,Delta,0.29448021137907965,0.11944444444444445,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,150,Without Both excursuses,Cosine,0.4070615416892619,0.052182539682539685,-0.7500000000000002,0.033134920634920635
MFW 300,word,tokens,300,Full corpus (no exclusions),Delta,0.3074732607030594,0.09444444444444444,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,300,Full corpus (no exclusions),Cosine,0.4824244182745153,0.017063492063492062,-0.9285714285714288,0.003373015873015873
MFW 300,word,tokens,300,Without Book VI Germanic excursus,Delta,0.30782422856846153,0.10912698412698413,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,300,Without Book VI Germanic excursus,Cosine,0.4157411185120249,0.05119047619047619,-0.7500000000000002,0.033134920634920635
MFW 300,word,tokens,300,Without Book V British excursus,Delta,0.28505630876864596,0.1130952380952381,-0.7500000000000002,0.033134920634920635
MFW 300,word,tokens,300,Without Book V British excursus,Cosine,0.46945234139965963,0.02023809523809524,-0.9285714285714288,0.003373015873015873
MFW 300,word,tokens,300,Without Both excursuses,Delta,0.29448021137907965,0.11944444444444445,-0.8571428571428573,0.011904761904761904
MFW 300,word,tokens,300,Without Both excursuses,Cosine,0.4070615416892619,0.052182539682539685,-0.7500000000000002,0.033134920634920635
MFW 300 (lemmas),word,lemmas,150,Full corpus (no exclusions),Delta,0.04790843153399518,0.4517857142857143,-0.642857142857143,0.06944444444444445
MFW 300 (lemmas),word,lemmas,150,Full corpus (no exclusions),Cosine,0.6310043297553575,0.005158730158730159,-0.9285714285714288,0.003373015873015873
MFW 300 (lemmas),word,lemmas,150,Without Book VI Germanic excursus,Delta,0.1320138032169027,0.2974206349206349,-0.5357142857142858,0.11785714285714285
MFW 300 (lemmas),word,lemmas,150,Without Book VI Germanic excursus,Cosine,0.5898284858040174,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 300 (lemmas),word,lemmas,150,Without Book V British excursus,Delta,0.033251088390948,0.4799603174603175,-0.642857142857143,0.06944444444444445
MFW 300 (lemmas),word,lemmas,150,Without Book V British excursus,Cosine,0.6199800159828252,0.005952380952380952,-0.9285714285714288,0.003373015873015873
MFW 300 (lemmas),word,lemmas,150,Without Both excursuses,Delta,0.12667909757578039,0.30654761904761907,-0.5357142857142858,0.11785714285714285
MFW 300 (lemmas),word,lemmas,150,Without Both excursuses,Cosine,0.5837980348203571,0.013492063492063493,-0.8214285714285715,0.017063492063492062
MFW 300 (lemmas),word,lemmas,300,Full corpus (no exclusions),Delta,0.04790843153399518,0.4517857142857143,-0.642857142857143,0.06944444444444445
MFW 300 (lemmas),word,lemmas,300,Full corpus (no exclusions),Cosine,0.6310043297553575,0.005158730158730159,-0.9285714285714288,0.003373015873015873
MFW 300 (lemmas),word,lemmas,300,Without Book VI Germanic excursus,Delta,0.1320138032169027,0.2974206349206349,-0.5357142857142858,0.11785714285714285
MFW 300 (lemmas),word,lemmas,300,Without Book VI Germanic excursus,Cosine,0.5898284858040174,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 300 (lemmas),word,lemmas,300,Without Book V British excursus,Delta,0.033251088390948,0.4799603174603175,-0.642857142857143,0.06944444444444445
MFW 300 (lemmas),word,lemmas,300,Without Book V British excursus,Cosine,0.6199800159828252,0.005952380952380952,-0.9285714285714288,0.003373015873015873
MFW 300 (lemmas),word,lemmas,300,Without Both excursuses,Delta,0.12667909757578039,0.30654761904761907,-0.5357142857142858,0.11785714285714285
MFW 300 (lemmas),word,lemmas,300,Without Both excursuses,Cosine,0.5837980348203571,0.013492063492063493,-0.8214285714285715,0.017063492063492062
Char 2-grams,char_ngram,tokens,all,Full corpus (no exclusions),Delta,0.4486426628869245,0.021825396825396824,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Full corpus (no exclusions),Cosine,0.38053764880226837,0.0761904761904762,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Delta,0.49122327263148674,0.02023809523809524,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Cosine,0.40056419719062736,0.05198412698412699,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Book V British excursus,Delta,0.4384763729553538,0.024404761904761905,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Book V British excursus,Cosine,0.367832410579073,0.08333333333333333,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Both excursuses,Delta,0.4851890842553993,0.020634920634920634,-0.8571428571428573,0.011904761904761904
Char 2-grams,char_ngram,tokens,all,Without Both excursuses,Cosine,0.3937548655514839,0.05694444444444444,-0.8571428571428573,0.011904761904761904
Char 3-grams,char_ngram,tokens,all,Full corpus (no exclusions),Delta,0.2880423365598157,0.14365079365079364,-0.9285714285714288,0.003373015873015873
Char 3-grams,char_ngram,tokens,all,Full corpus (no exclusions),Cosine,0.3315936210589904,0.13095238095238096,-0.7500000000000002,0.033134920634920635
Char 3-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Delta,0.3219023552445994,0.10376984126984128,-0.9285714285714288,0.003373015873015873
Char 3-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Cosine,0.3574929899881186,0.08968253968253968,-0.8571428571428573,0.011904761904761904
Char 3-grams,char_ngram,tokens,all,Without Book V British excursus,Delta,0.27131485960079604,0.1599206349206349,-0.9285714285714288,0.003373015873015873
Char 3-grams,char_ngram,tokens,all,Without Book V British excursus,Cosine,0.31612739012813007,0.14444444444444443,-0.7500000000000002,0.033134920634920635
Char 3-grams,char_ngram,tokens,all,Without Both excursuses,Delta,0.31538174453141615,0.11071428571428571,-0.9285714285714288,0.003373015873015873
Char 3-grams,char_ngram,tokens,all,Without Both excursuses,Cosine,0.350253572622632,0.09801587301587301,-0.8571428571428573,0.011904761904761904
Char 4-grams,char_ngram,tokens,all,Full corpus (no exclusions),Delta,0.15667961816881404,0.289484126984127,-0.9285714285714288,0.003373015873015873
Char 4-grams,char_ngram,tokens,all,Full corpus (no exclusions),Cosine,0.36378444331934534,0.07678571428571429,-0.8214285714285715,0.017063492063492062
Char 4-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Delta,0.1823524153735635,0.2509920634920635,-0.9285714285714288,0.003373015873015873
Char 4-grams,char_ngram,tokens,all,Without Book VI Germanic excursus,Cosine,0.3661786793054116,0.06746031746031746,-0.9285714285714288,0.003373015873015873
Char 4-grams,char_ngram,tokens,all,Without Book V British excursus,Delta,0.1321604959748445,0.3140873015873016,-0.9285714285714288,0.003373015873015873
Char 4-grams,char_ngram,tokens,all,Without Book V British excursus,Cosine,0.34376712889979416,0.09424603174603174,-0.8214285714285715,0.017063492063492062
Char 4-grams,char_ngram,tokens,all,Without Both excursuses,Delta,0.17180150507893474,0.25853174603174606,-0.9285714285714288,0.003373015873015873
Char 4-grams,char_ngram,tokens,all,Without Both excursuses,Cosine,0.35730242125657086,0.07242063492063493,-0.9285714285714288,0.003373015873015873
