segment_id,work,book,chapter,tokens
dbg_book07_ch067,dbg,7,67,178
dbg_book07_ch068,dbg,7,68,92
dbg_book07_ch069,dbg,7,69,126
dbg_book07_ch070,dbg,7,70,141
dbg_book07_ch071,dbg,7,71,160
dbg_book07_ch072,dbg,7,72,149
dbg_book07_ch073,dbg,7,73,224
dbg_book07_ch074,dbg,7,74,62
dbg_book07_ch075,dbg,7,75,225
dbg_book07_ch076,dbg,7,76,157
dbg_book07_ch077,dbg,7,77,61
dbg_book07_ch078,dbg,7,78,91
dbg_book07_ch079,dbg,7,79,107
dbg_book07_ch080,dbg,7,80,205
dbg_book07_ch081,dbg,7,81,147
dbg_book07_ch082,dbg,7,82,104
dbg_book07_ch083,dbg,7,83,168
dbg_book07_ch084,dbg,7,84,87
dbg_book07_ch085,dbg,7,85,112
dbg_book07_ch086,dbg,7,86,89
dbg_book07_ch087,dbg,7,87,100
dbg_book07_ch088,dbg,7,88,177
dbg_book07_ch089,dbg,7,89,97
dbg_book07_ch090,dbg,7,90,132
dbg_book08_ch000,dbg,8,0,259
dbg_book08_ch001,dbg,8,1,98
dbg_book08_ch002,dbg,8,2,85
dbg_book08_ch003,dbg,8,3,159
dbg_book08_ch004,dbg,8,4,111
dbg_book08_ch005,dbg,8,5,136
dbg_book08_ch006,dbg,8,6,171
dbg_book08_ch007,dbg,8,7,233
dbg_book08_ch008,dbg,8,8,160
dbg_book08_ch009,dbg,8,9,161
dbg_book08_ch010,dbg,8,10,149
dbg_book08_ch011,dbg,8,11,90
dbg_book08_ch012,dbg,8,12,151
dbg_book08_ch013,dbg,8,13,115
dbg_book08_ch014,dbg,8,14,190
dbg_book08_ch015,dbg,8,15,152
dbg_book08_ch016,dbg,8,16,118
dbg_book08_ch017,dbg,8,17,78
dbg_book08_ch018,dbg,8,18,109
dbg_book08_ch019,dbg,8,19,222
dbg_book08_ch020,dbg,8,20,98
dbg_book08_ch021,dbg,8,21,110
dbg_book08_ch022,dbg,8,22,78
dbg_book08_ch023,dbg,8,23,193
dbg_book08_ch024,dbg,8,24,192
dbg_book08_ch025,dbg,8,25,58
dbg_book08_ch026,dbg,8,26,109
dbg_book08_ch027,dbg,8,27,180
dbg_book08_ch028,dbg,8,28,122
dbg_book08_ch029,dbg,8,29,104
dbg_book08_ch030,dbg,8,30,92
dbg_book08_ch031,dbg,8,31,114
dbg_book08_ch032,dbg,8,32,81
dbg_book08_ch033,dbg,8,33,72
dbg_book08_ch034,dbg,8,34,125
dbg_book08_ch035,dbg,8,35,125
dbg_book08_ch036,dbg,8,36,181
dbg_book08_ch037,dbg,8,37,49
dbg_book08_ch038,dbg,8,38,130
dbg_book08_ch039,dbg,8,39,107
dbg_book08_ch040,dbg,8,40,128
dbg_book08_ch041,dbg,8,41,183
dbg_book08_ch042,dbg,8,42,113
dbg_book08_ch043,dbg,8,43,115
dbg_book08_ch044,dbg,8,44,145
dbg_book08_ch045,dbg,8,45,52
dbg_book08_ch046,dbg,8,46,212
dbg_book08_ch047,dbg,8,47,76
dbg_book08_ch048,dbg,8,48,313
dbg_book08_ch049,dbg,8,49,83
dbg_book08_ch050,dbg,8,50,154
dbg_book08_ch051,dbg,8,51,78
dbg_book08_ch052,dbg,8,52,191
dbg_book08_ch053,dbg,8,53,81
dbg_book08_ch054,dbg,8,54,157
dbg_book08_ch055,dbg,8,55,66
dbc_book01_ch001,dbc,1,1,125
dbc_book01_ch002,dbc,1,2,215
dbc_book01_ch003,dbc,1,3,148
dbc_book01_ch004,dbc,1,4,148
dbc_book01_ch005,dbc,1,5,192
dbc_book01_ch006,dbc,1,6,214
dbc_book01_ch007,dbc,1,7,213
dbc_book01_ch008,dbc,1,8,147
dbc_book01_ch009,dbc,1,9,229
dbc_book01_ch010,dbc,1,10,70
dbc_book01_ch011,dbc,1,11,105
dbc_book01_ch012,dbc,1,12,94
dbc_book01_ch013,dbc,1,13,138
