"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"per" 0.297250433490216 0.403817914831131 0.144334856867934 0.250906049623641 0.152838427947598 0.176247288503254 0.292611558156547 0.172852983988355 0.138931769064526
"sibi" 0.198166955660144 0.489476260401371 0.288669713735867 0.250906049623641 0.37117903930131 0.135574837310195 0.128017556693489 0.191048034934498 0.26242667489966
"quo" 0.213648749071092 0.220264317180617 0.240558094779889 0.306662949540006 0.262008733624454 0.203362255965293 0.237746891002195 0.227438136826783 0.339610991046619
"causa" 0.216745107753282 0.195790504160548 0.2165022853019 0.306662949540006 0.327510917030568 0.257592190889371 0.292611558156547 0.245633187772926 0.0926211793763507
"eorum" 0.176492444884815 0.293685756240822 0.505171999037768 0.167270699749094 0.305676855895196 0.162689804772234 0.384052670080468 0.218340611353712 0.138931769064526
"loco" 0.235323259846421 0.110132158590308 0.288669713735867 0.167270699749094 0.131004366812227 0.27114967462039 0.256035113386979 0.263828238719068 0.246989811670269
"erant" 0.278672281397077 0.122369065100343 0.360837142169834 0.195149149707276 0.262008733624454 0.176247288503254 0.182882223847842 0.154657933042213 0.0926211793763507
"eum" 0.24770869457518 0.354870288790994 0.240558094779889 0.139392249790912 0.218340611353712 0.27114967462039 0.182882223847842 0.0909752547307132 0.0771843161469589
"caesaris" 0.356081248451821 0.0856583455702398 0.0721674284339668 0.0557568999163646 0.0436681222707424 0.189804772234273 0.091441111923921 0.0909752547307132 0.277863538129052
"haec" 0.256997770621749 0.0978952520802741 0.120279047389945 0.111513799832729 0.305676855895196 0.149132321041215 0.21945866861741 0.245633187772926 0.0308737264587836
"id" 0.157914292791677 0.342633382280959 0.168390666345923 0.195149149707276 0.240174672489083 0.203362255965293 0.0731528895391368 0.245633187772926 0.16980549552331
"hoc" 0.204359673024523 0.110132158590308 0.0721674284339668 0.139392249790912 0.240174672489083 0.203362255965293 0.365764447695684 0.163755458515284 0.16980549552331
"milites" 0.266286846668318 0.0734214390602056 0.192446475823911 0.195149149707276 0.0873362445414847 0.162689804772234 0.109729334308705 0.191048034934498 0.0617474529175671
"caesarem" 0.195070596977954 0.208027410670582 0.192446475823911 0.083635349874547 0.152838427947598 0.244034707158351 0.146305779078274 0.145560407569141 0.154368632293918
"tamen" 0.151721575427298 0.110132158590308 0.0481116189559779 0.195149149707276 0.262008733624454 0.27114967462039 0.0365764447695684 0.191048034934498 0.43223217042297
"etiam" 0.213648749071092 0.208027410670582 0.264613904257878 0.167270699749094 0.131004366812227 0.0949023861171367 0.237746891002195 0.100072780203785 0.138931769064526
"ipse" 0.167203368838246 0.220264317180617 0.0962232379119557 0.139392249790912 0.152838427947598 0.203362255965293 0.146305779078274 0.181950509461426 0.277863538129052
"esset" 0.173396086202626 0.25697503671072 0.120279047389945 0.167270699749094 0.0873362445414847 0.149132321041215 0.0365764447695684 0.127365356622999 0.416795307193578
"sunt" 0.151721575427298 0.122369065100343 0.192446475823911 0.223027599665459 0.305676855895196 0.149132321041215 0.457205559619605 0.145560407569141 0.0771843161469589
"re" 0.161010651473867 0.146842878120411 0.168390666345923 0.167270699749094 0.131004366812227 0.230477223427332 0.146305779078274 0.218340611353712 0.200679221982093
"suis" 0.179588803567005 0.293685756240822 0.192446475823911 0.0557568999163646 0.152838427947598 0.149132321041215 0.091441111923921 0.172852983988355 0.16980549552331
"eos" 0.130047064651969 0.318159569260891 0.360837142169834 0.111513799832729 0.349344978165939 0.122017353579176 0.182882223847842 0.145560407569141 0.0926211793763507
"ea" 0.12385434728759 0.342633382280959 0.120279047389945 0.223027599665459 0.283842794759825 0.189804772234273 0.182882223847842 0.118267831149927 0.154368632293918
"quos" 0.151721575427298 0.159079784630445 0.144334856867934 0.223027599665459 0.283842794759825 0.149132321041215 0.128017556693489 0.218340611353712 0.123494905835134
"hostium" 0.0805053257369334 0.17131669114048 0.240558094779889 0.278784499581823 0.152838427947598 0.203362255965293 0.109729334308705 0.236535662299854 0.370484717505403
"sese" 0.164107010156056 0.318159569260891 0.288669713735867 0.083635349874547 0.152838427947598 0.216919739696312 0.21945866861741 0.0727802037845706 0
"hostes" 0.0526380975972257 0.134605971610377 0.408948761125812 0.250906049623641 0.283842794759825 0.27114967462039 0.146305779078274 0.20924308588064 0.185242358752701
"militum" 0.195070596977954 0.0978952520802741 0.0721674284339668 0.139392249790912 0.0873362445414847 0.28470715835141 0.128017556693489 0.145560407569141 0.0154368632293918
